x,y
-142.9,61.5
-132.7982,55.1872
-132.8202,55.2035
-141.5667,62.9375
-149.7853,61.0595
-141.3165,62.77335
-147.8142,64.89139
-85.16235,32.31435
-87.32655,33.28375
-86.4559,34.95605
-86.66465,34.5422
-87.02025,34.9263
-87.50905,34.80405
-87.1105,34.92855
-88.17885,33.13195
-88.08305,31.4515
-87.45876,33.97575
-87.96095,31.58255
-86.6333,34.4881
-87.00665,34.6802
-87.09069,31.16
-88.14999,33.13
-87.35664,33.21145
-87.31821,33.26035
-86.52105,34.7325
-85.4258,32.6218
-86.64066,33.3674
-86.4664,33.6205
-86.7891,33.8132
-87.24547,32.30673
-86.99782,31.00002
-85.705,32.43
-85.625,33.35
-86.17524,34.27607
-86.5,33.59
-86.581,32.184
-86.17122,33.36305
-86.6575,34.71139
-87.91833,30.7113
-86.4891,32.76967
-85.35995,31.86801
-87.53395,33.8957
-87.53395,33.8957
-87.77686,34.70112
-87.06486,31.13586
-86.54527,31.34781
-88.12475,33.41574
-88.26291,31.25385
-85.48985,33.82162
-86.5045,34.32279
-86.56954,34.47091
-86.88621,34.29511
-86.37698,32.48322
-86.98473,33.55153
-85.9793,32.91874
-87.6942,33.37095
-85.19265,31.651
-86.96416,34.00806
-85.22781,34.14117
-85.21574,31.23374
-85.7944,31.53475
-92.34083,34.55056
-92.38222,36.19444
-92.385,36.33528
-93,34.08
-93.1,34.25
-94.3643,33.76986
-91.735,34.787
-90.51056,36.12083
-92.03389,33.82111
-93.83426,35.9975
-93.15208,35.42097
-93.20389,33.88861
-93.886,33.26666
-91.1125,36.19791
-92.58667,34.56444
-91.87,36.37111
-94.23417,36.20611
-94.45417,34.70694
-94.44694,36.18333
-91.45889,35.64861
-93.94583,36.34167
-91.08056,34.88111
-93.13361,35.27833
-93.9475,33.18639
-92.40778,34.53167
-94.356,35.09306
-91.27056,33.7985
-93.74,36.41
-91.51306,35.44944
-92.61493,33.14663
-92.12,34.87
-93.75723,36.31519
-92.64066,33.26462
-93.162,34.285
-93.75313,35.34572
-90.32,35.0194
-94.3745,34.369
-93.07654,34.44652
-93.89135,33.14759
-94.229,35.36335
-92.63179,36.29871
-92.75093,34.73147
-91.22115,33.26855
-93.98622,33.33171
-92.52505,36.14065
-91.52025,36.33205
-92.3575,34.86535
-92.30614,36.38605
-91.46231,35.703
-110.1835,31.99003
-110.8403,34.90831
-109.4276,36.09081
-111.5,34.4
-109.3191,33.6247
-109.29,36.54165
-111.938,35.656
-109.64,34.325
-109.675,32.815
-109.44,34.6
-111.69,33.85
-110.4298,33.99989
-112.6432,33.3785
-111.1367,34.28939
-111.8634,35.241
-110.165,34.1
-112.5421,34.55154
-110,34
-112.73,32.95
-110.11,34.285
-119.6436,37.35944
-119.9833,38.93333
-120.0914,38.9575
-124.1625,40.80222
-119.836,38.28085
-121.9139,40.33556
-119.2119,37.23389
-119.9065,38.17677
-120.6781,41.41
-120.205,38.93
-119.9833,38.93333
-120.1358,38.86
-118.9975,37.35861
-120.1877,38.06615
-118.8489,36.10222
-119.9811,38.19753
-122.4306,41.45833
-122.3839,41.42806
-119.2642,38.04806
-122.7325,40.63556
-120.2339,38.03898
-118.1303,36.05278
-119.8633,38.26661
-122.9958,41.82417
-123.1317,41.3657
-122.5833,38.25583
-120.8908,39.21278
-119.2569,37.91111
-116.8625,33.2675
-122.2703,41.21361
-120.2653,39.3225
-121.6156,40.92911
-123.4817,39.68833
-120.0133,38.85556
-119.9833,38.93333
-123.8692,40.26639
-123.8692,40.26639
-121.495,36.2485
-122.3775,40.8875
-122.1781,39.92778
-121.0161,39.26361
-123.4817,39.68833
-123.7675,39.22361
-118.972,37.5703
-120.5836,38.72139
-121.58,39.205
-124,40.465
-119.2119,37.23389
-118.7402,36.0438
-120.3275,39.31917
